region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
X (Northern Mindanao),Cagayan de Oro,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
X (Northern Mindanao),Cagayan de Oro,PAL Express, -   , -   , -   , -   , -   , -   ,62,62,60,62,60,86,392
X (Northern Mindanao),Cagayan de Oro,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
X (Northern Mindanao),Cagayan de Oro,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
X (Northern Mindanao),Cagayan de Oro,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
X (Northern Mindanao),Camiguin,Seair, -   ,26, -   ,26, -   , -   , -   , -   , -   , -   , -   , -   ,52
X (Northern Mindanao),Camiguin,G. Aviation, -   ,58, -   ,50, -   , -   , -   , -   , -   , -   , -   , -   ,108
X (Northern Mindanao),Camiguin,Military, -   , -   , -   ,52, -   , -   , -   , -   , -   , -   , -   , -   ,52
X (Northern Mindanao),Ozamis,PAL, -   , -   , -   , -   , -   , -   ,32,-,-,-,-,-,0
X (Northern Mindanao),Ozamis,G. Aviation,84,36,64,44,18,14,52,50,52,20,12,34,480
X (Northern Mindanao),Ozamis,Air Philippines, -   ,-,-,-,-,-,62,-,-,-,-,-,0
XIII (Caraga),Siargao,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Siargao,G. Aviation,24, -   ,50,18,22,18,16, -   ,40,32,6, -   ,226
XIII (Caraga),Siargao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Surigao,PAL,-,-,-,-,-,-,34,-,-,-,-,-,0
XIII (Caraga),Surigao,Cebu Pacific, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,24,34,58
XIII (Caraga),Surigao,Asian Spirit,14,36, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,50
XIII (Caraga),Surigao,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   ,2
